epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.446,1.35384,1.68121,1.25536,0.9,0.91427,0.9439,0.62824,1.07889,0.98816,1.09862,0.00332855,0.00332855,0.00332855
2,114.144,1.25644,1.00197,1.21585,0.89553,0.92183,0.94783,0.66649,0.9786,0.83096,1.07261,0.00659593,0.00659593,0.00659593
3,165.338,1.26003,0.9449,1.23693,0.89716,0.90271,0.93955,0.62305,1.05956,0.80819,1.14918,0.00979731,0.00979731,0.00979731
4,214.752,1.26042,0.88303,1.24061,0.89214,0.91825,0.94813,0.64535,1.01384,0.71483,1.12364,0.009703,0.009703,0.009703
5,263.205,1.2096,0.79304,1.22465,0.89144,0.92274,0.94781,0.64124,1.04365,0.68573,1.14441,0.009604,0.009604,0.009604
6,315.089,1.17252,0.73149,1.20899,0.93742,0.9225,0.97016,0.67427,1.03057,0.60561,1.12921,0.009505,0.009505,0.009505
7,369.604,1.15484,0.70801,1.19763,0.95438,0.93657,0.97811,0.69413,0.97498,0.57127,1.09034,0.009406,0.009406,0.009406
8,424.98,1.12361,0.67055,1.17922,0.92417,0.92859,0.96683,0.70453,0.94509,0.56317,1.0896,0.009307,0.009307,0.009307
9,477.448,1.10255,0.65329,1.1681,0.93444,0.93307,0.96516,0.70299,0.88928,0.52486,1.07278,0.009208,0.009208,0.009208
10,535.819,1.09128,0.63583,1.16427,0.93578,0.94118,0.97298,0.68716,1.02852,0.55277,1.12124,0.009109,0.009109,0.009109
11,588.245,1.07254,0.61949,1.15533,0.91512,0.94596,0.96801,0.70856,0.93214,0.5574,1.07369,0.00901,0.00901,0.00901
12,640.618,1.0641,0.61095,1.15621,0.92457,0.95209,0.96601,0.7213,0.87897,0.50565,1.06813,0.008911,0.008911,0.008911
13,686.749,1.05282,0.602,1.1505,0.95101,0.94123,0.97518,0.7277,0.8819,0.49303,1.0526,0.008812,0.008812,0.008812
14,743.155,1.03928,0.58871,1.13808,0.94136,0.959,0.97765,0.71689,0.91581,0.49386,1.06165,0.008713,0.008713,0.008713
15,799.187,1.03361,0.57998,1.13922,0.95446,0.95327,0.98065,0.72368,0.91404,0.47655,1.07303,0.008614,0.008614,0.008614
16,851.619,1.01896,0.56794,1.13055,0.92633,0.95055,0.97718,0.72951,0.86853,0.4767,1.05967,0.008515,0.008515,0.008515
17,908.479,1.01868,0.56687,1.13168,0.95115,0.96551,0.97945,0.72945,0.87227,0.46978,1.05766,0.008416,0.008416,0.008416
18,953.817,1.00055,0.55487,1.12383,0.94095,0.97407,0.98209,0.71636,0.91281,0.45731,1.07805,0.008317,0.008317,0.008317
19,1000.57,0.99992,0.55293,1.11923,0.93085,0.95754,0.97391,0.71603,0.90407,0.46815,1.06544,0.008218,0.008218,0.008218
20,1057.12,0.99142,0.54618,1.11455,0.95906,0.94946,0.98072,0.7198,0.90538,0.46038,1.05824,0.008119,0.008119,0.008119
21,1112.26,0.98852,0.5396,1.11572,0.95132,0.95223,0.9802,0.72914,0.87252,0.45299,1.06258,0.00802,0.00802,0.00802
22,1167.04,0.98733,0.54089,1.11195,0.94564,0.95955,0.97822,0.73161,0.84225,0.44947,1.05059,0.007921,0.007921,0.007921
23,1222.19,0.98089,0.5363,1.105,0.94147,0.96457,0.98311,0.72723,0.88905,0.4393,1.06921,0.007822,0.007822,0.007822
24,1278.18,0.96947,0.53038,1.10713,0.95687,0.95034,0.98198,0.74366,0.84189,0.42732,1.04868,0.007723,0.007723,0.007723
25,1334.14,0.96647,0.52814,1.10417,0.95767,0.95536,0.98324,0.74311,0.84819,0.43155,1.04693,0.007624,0.007624,0.007624
26,1389.02,0.96421,0.51981,1.10328,0.94553,0.96429,0.97836,0.74277,0.85133,0.41916,1.04988,0.007525,0.007525,0.007525
27,1444.04,0.95647,0.51763,1.09451,0.94782,0.96478,0.9861,0.74158,0.8384,0.4178,1.03427,0.007426,0.007426,0.007426
28,1495.05,0.94468,0.50969,1.0955,0.95494,0.96353,0.98474,0.74613,0.83761,0.40688,1.03517,0.007327,0.007327,0.007327
29,1550.3,0.94681,0.51072,1.089,0.95443,0.97209,0.98676,0.73863,0.88449,0.41781,1.05757,0.007228,0.007228,0.007228
30,1604.97,0.94504,0.50272,1.09291,0.96287,0.95762,0.9843,0.75557,0.82415,0.39838,1.03836,0.007129,0.007129,0.007129
31,1660.43,0.94428,0.50597,1.08699,0.96133,0.95728,0.98414,0.74397,0.85488,0.40541,1.03191,0.00703,0.00703,0.00703
32,1716.4,0.93525,0.49652,1.08004,0.94759,0.96947,0.98424,0.74394,0.86578,0.41036,1.03199,0.006931,0.006931,0.006931
33,1773.42,0.93169,0.49652,1.08256,0.95786,0.96055,0.98381,0.74802,0.8582,0.40658,1.04022,0.006832,0.006832,0.006832
34,1829.82,0.92539,0.48882,1.07765,0.96188,0.95527,0.98351,0.75163,0.84385,0.40646,1.03423,0.006733,0.006733,0.006733
35,1888.89,0.92454,0.49025,1.07767,0.96369,0.96061,0.98471,0.7432,0.86678,0.41177,1.046,0.006634,0.006634,0.006634
